fecha,numero_dia,num_lote,temp_media,PAR,precipitaciones,profRaiz,diasDesdePrec,transpiracion,precipitacion_efectiva,evaporacion,percolacion_capa_1,percolacion_capa_2,percolacion_capa_3,drenaje,aguaUtilDisp1,aguaUtilDisp2,aguaUtilDisp3,aguaUtilDisp4,porcAguaUtil,cEstresHidrico,cEstresHidricoRadiacion,porcCobertura,cEstrsTerminco,EUR,biomasaDiaria,biomasaAcumulada,rendimiento,ici,DPV,DDS,ET0,che_pc,rend escalado,FCCH
20220415,133,19,14.7491039427,6.800949,0,2000,0,0.812561724645,0,1.12996747477,0,0,0,0,71.1396151858,74.5866057233,68.0904256692,62.7803424058,0.921989963281,1,1,0.432133683477,0.321385902031,1.28554360812,3.77810871845,1257.44705944,558.939511783,0.444503414747,0.883161934986,102,1.89167052553,1,364.972057728,0
20220416,134,19,16.1832142857,6.7166685,0,2000,0,0.753667355434,0,1.1589708835,0,0,0,0,69.7922274635,74.3981888845,67.9020088303,62.591925567,0.915614502484,1,1,0.407302290331,0.389676870748,1.55870748299,4.26417860551,1261.71123804,571.095107635,0.452635349845,0.92020316018,103,1.85538367647,1,372.909325961,0
20220417,135,19,16.4801444043,7.236378,0,2000,0,0.811631732402,0,1.3821024814,0,0,0,0,68.207217049,74.1952809514,67.6991008972,62.3890176339,0.908302055105,1,1,0.382470897186,0.403816400206,1.61526560083,4.47057704191,1266.18181509,581.922403433,0.459588343869,0.920587548654,104,2.11989481447,1,379.979250959,0
20220418,136,19,16.8740350877,6.735204,0,2000,0,0.70022891859,0,1.32301238389,0,0,0,0,66.7091474354,74.0202237217,67.5240436676,62.2139604042,0.90155791743,1,1,0.35763950404,0.422573099415,1.69029239766,4.07153410089,1270.25334919,591.305000148,0.465501626527,0.88055366915,105,1.94766291229,1,386.105827374,0
20220419,137,19,17.4845878136,6.6097215,0,2000,0,0.681897616605,0,1.43323480076,0,0,0,0,65.1054382305,73.8497493176,67.3535692634,62.0434860001,0.894507476039,1,1,0.332808110894,0.451647038744,1.80658815498,3.97407648531,1274.22742567,599.534011265,0.470507853768,1.01583466933,106,2.02836372435,1,391.479144266,0
20220420,138,19,19.5788732394,5.9923125,15.19,2000,0,0.567737642622,14.4305,1.33189312683,3.06211069305,0,0,0,75,73.7078149069,67.2116348528,61.9015515894,0.926070004497,1,1,0.307976717749,0.551374916164,2.20549966465,4.07023360921,1278.29765928,606.846082418,0.474729870631,0.989624000483,107,1.81478814904,1,396.253724697,0
20220421,139,19,17.4435714286,6.4629225,0,2000,0,0.49188355024,0,1.29339134462,0,1.6469547124,0,0,73.5836377678,75,67.0886639652,61.7785807018,0.924836274783,1,1,0.283145324603,0.449693877551,1.7987755102,3.2916625699,1281.58932185,612.957223574,0.47827897215,0.755244196901,108,1.69909068588,1,400.244131021,0
20220422,140,19,14.2285198556,6.54245775,4,2000,0,0.454694392269,3.8,1.34711960615,0.922844563605,0,0,0,75,74.8863264019,68.6219450795,61.6649071038,0.933910595284,1,1,0.258313931457,0.2965961836,1.1863847344,2.0049996718,1283.59432152,617.735248704,0.481254270408,0.337402795938,109,1.70837162599,1,403.364049414,0
20220423,141,19,15.2153846154,6.621993,0,2000,0,0.417071971994,0,1.40135487676,0,0.70490297254,0,0,73.4943771302,75,68.5176770865,61.5606391108,0.928575644425,1,1,0.233482538311,0.34358974359,1.37435897436,2.1249235323,1285.71924506,621.957464448,0.483742828647,0.71296912862,110,1.7176525661,1,406.121039636,0
20220424,142,19,19.2809027778,6.8722425,0,2000,0,0.467906314158,0,1.79759306542,0,0,0,0,71.5798074863,74.8830234215,69.1056034805,61.4436625322,0.923373656402,1,1,0.208651145166,0.537185846561,2.14874338624,3.08108586503,1288.80033092,626.125350251,0.485820289791,0.898256152156,111,2.13194818866,1,408.842553906,0
