fecha,numero_dia,num_lote,temp_media,PAR,precipitaciones,profRaiz,diasDesdePrec,transpiracion,precipitacion_efectiva,evaporacion,percolacion_capa_1,percolacion_capa_2,percolacion_capa_3,drenaje,aguaUtilDisp1,aguaUtilDisp2,aguaUtilDisp3,aguaUtilDisp4,porcAguaUtil,cEstresHidrico,cEstresHidricoRadiacion,porcCobertura,cEstrsTerminco,EUR,biomasaDiaria,biomasaAcumulada,rendimiento,ici,DPV,DDS,ET0,che_pc,rend escalado,FCCH
20220513,161,9,14.1442105263,1.152792,0,2000,0,0.118156441057,0,0.025954837405,0,0,0,0,66.3867934811,70.268365027,60.5828902201,60.2211706125,0.858197397802,1,1,0.581133418157,0.292581453634,1.17032581454,0.784031639414,759.712135721,276.615435971,0.364105590743,0.30416097329,96,0.207434881709,1,186.06550112,0
20220514,162,9,15.8241258741,2.613789,0,2000,0,0.311746752207,0,0.0729281094807,0,0,0,0,66.2359286836,70.190428339,60.5049535321,60.1432339244,0.856915148263,1,1,0.556301530411,0.372577422577,1.49030969031,2.16699198979,761.879127711,290.784722938,0.381667790023,0.736295106508,97,0.57068733394,1,195.596478561,0
20220515,163,9,11.9947916667,4.5110115,5.79,2000,0,0.501190629627,5.5005,0.125020557869,0,0,0,0,71.4861104683,70.0651306816,60.3796558746,60.017936267,0.873162777638,1,1,0.531469642665,0.190228174603,0.760912698413,1.82426207228,763.703389783,303.590413751,0.397523983542,0.616379800613,98,0.958439788015,1,204.210232417,0
20220516,164,9,9.21625441696,4.633794,0,2000,0,0.494740012377,0,0.131781822687,0,0,0,0,71.2306436425,69.9414456785,60.2559708716,59.8942512639,0.871074371522,1,1,0.506637754919,0.0579168769981,0.231667507993,0.543875380909,764.247265164,314.615417145,0.411667050032,0.583544390707,99,0.990308984468,1,211.626206056,0
20220517,165,9,8.33780918728,4.9655025,0,2000,0,0.4555432313,0,0.12977851472,0,0,0,0,70.98697932,69.8275598706,60.1420850637,59.7803654561,0.869123299035,1,1,0.481805867173,0.0160861517752,0.0643446071008,0.153938568096,764.401203732,324.217749798,0.424146048195,0.466526093648,100,0.956542330541,1,218.085219563,0
20220518,166,9,7.67403508772,4.986171,0,2000,0,0.485618146177,0,0.148236681723,0,0,0,0,70.7173381017,69.7061553341,60.0206805272,59.6589609196,0.867010449609,1,1,0.456973979427,0,0,0,764.401203732,332.554179106,0.435051877839,0.571606355069,101,1.07224731852,1,223.692722598,0
20220519,167,9,7.41201413428,4.9018365,0,2000,0,0.461599043089,0,0.151294328364,0,0,0,0,70.4506440126,69.5907555733,59.9052807664,59.5435611588,0.864967471704,1,1,0.432142091681,0,0,0,764.401203732,339.778945295,0.444503414747,0.483349084916,102,1.07459687839,1,228.552464921,0
20220520,168,9,11.968401487,4.1512365,0,2000,0,0.412012716696,0,0.145348903701,0,0,0,0,70.2022919297,69.4877523942,59.8022775872,59.4405579796,0.863109599636,1,1,0.407310203935,0.18897149938,0.755885997522,1.2780830249,765.679286757,346.57351183,0.452635349845,0.717919974549,103,1.01427611237,1,233.122833247,0
20220521,169,9,13.0933098592,4.5913635,0,2000,0,0.472282523287,0,0.179826573377,0,0,0,0,69.9043947255,69.3696817633,59.6842069564,59.3224873488,0.860935902647,1,1,0.382478316189,0.242538564722,0.970154258887,1.70368496464,767.382971721,352.680269087,0.459588343869,0.971647534852,104,1.23352720214,1,237.230546345,0
20220522,170,9,12.9790780142,4.636332,1.09,2000,0,0.488995535888,1.0355,0.201606937225,0,0,0,0,70.6160389043,69.2474328794,59.5619580724,59.2002384648,0.86208556107,1,1,0.357646428443,0.237098953056,0.948395812226,1.57259918967,768.955570911,357.950068986,0.465501626527,0.798938576523,105,1.36009806277,1,240.775279688,0
