,FECHA,TMAXH(C),TMEDH(C),TMINH(C),HRMAXH(C),HRMEDH(C),HRMINH(C),LLUVIAH(MM),TMINF(C),TMEDF(C),TMAXF(C),RADF(W/M2),LLUVIAF(MM),T-TD(C),RADF(MJ/M2)
226,2020/08/19,12.8,8.6,2.2,50 ,28 ,0 ,0.0,,,,,,,
227,2020/08/20,17.7,6.5,2.5,66 ,31 ,0 ,0.0,,,,,,,
228,2020/08/23,22.6,19.2,15.0,0 ,0 ,0 ,0.0,,,,,,,
229,2020/08/24,28.5,18.0,0.0,85 ,20 ,0 ,0.0,,,,,,,
230,2020/08/25,32.3,24.3,0.0,83 ,45 ,0 ,0.0,,,,,,,
231,2020/08/26,21.1,16.0,11.3,92 ,76 ,51 ,0.76,,,,,,,
232,2020/08/27,22.9,14.2,7.6,92 ,62 ,31 ,0.0,,,,,,,
233,2020/08/28,27.6,15.6,5.6,89 ,68 ,49 ,0.0,,,,,,,
234,2020/08/29,17.2,15.3,11.7,91 ,65 ,47 ,0.0,,,,,,,
235,2020/08/30,20.4,13.3,7.8,64 ,46 ,22 ,0.0,,,,,,,
236,2020/08/31,12.3,11.1,10.4,54 ,46 ,40 ,0.0,,,,,,,
237,2020/09/01,10.4,9.1,8.3,93 ,57 ,0 ,0.0,,,,,,,
238,2020/09/02,9.5,9.4,9.1,93 ,93 ,0 ,0.0,,,,,,,
239,2020/09/03,18.5,10.9,7.1,99 ,86 ,61 ,0.0,,,,,,,
240,2020/09/04,21.4,13.0,4.3,99 ,87 ,59 ,0.0,,,,,,,
241,2020/09/05,23.6,12.6,9.1,95 ,88 ,52 ,0.0,,,,,,,
242,2020/09/06,20.9,15.9,11.3,82 ,70 ,48 ,0.0,,,,,,,
243,2020/09/07,22.8,13.9,8.1,84 ,80 ,59 ,0.0,,,,,,,
244,2020/09/11,16.8,16.7,9.4,82 ,33 ,32 ,0.0,,,,,,,
245,2020/09/12,9.4,9.4,9.4,82 ,82 ,82 ,1.27,,,,,,,
246,2020/09/13,23.1,20.9,9.4,82 ,79 ,0 ,1.3,,,,,,,
247,2020/09/14,24.8,16.9,9.2,82 ,56 ,19 ,0.0,,,,,,,
248,2020/09/15,22.9,14.1,5.9,82 ,59 ,25 ,0.0,,,,,,,
249,2020/09/19,9.4,9.4,9.4,82 ,82 ,82 ,0.0,,,,,,,
250,2020/09/20,26.1,18.9,8.4,82 ,64 ,25 ,0.0,,,,,,,
251,2020/09/21,24.9,15.1,4.3,82 ,61 ,20 ,0.0,,,,,,,
252,2020/09/22,26.5,17.0,0.0,82 ,62 ,0 ,0.0,,,,,,,
253,2020/09/23,32.1,18.0,0.0,82 ,64 ,0 ,0.0,,,,,,,
254,2020/10/01,18.5,13.9,9.4,82 ,52 ,22 ,0.0,,,,,,,
255,2020/10/03,15.8,14.7,0.0,82 ,36 ,0 ,0.0,,,,,,,
256,2020/10/11,18.2,13.7,0.0,82 ,53 ,0 ,1.5,,,,,,,
257,2020/10/13,31.6,18.0,9.4,82 ,67 ,0 ,1.5,,,,,,,
258,2020/10/14,26.6,20.6,9.4,82 ,51 ,36 ,0.0,,,,,,,
259,2020/10/15,29.3,20.1,9.4,82 ,64 ,34 ,0.0,,,,,,,
260,2020/10/18,9.4,9.4,9.4,82 ,82 ,82 ,0.0,,,,,,,
261,2020/10/19,21.4,15.4,9.4,82 ,69 ,55 ,1.02,,,,,,,
262,2020/10/20,16.9,14.6,9.4,99 ,99 ,78 ,48.62,,,,,,,
263,2020/10/21,15.8,13.2,9.4,99 ,94 ,82 ,0.0,,,,,,,
264,2020/10/22,22.1,17.9,9.4,99 ,96 ,82 ,0.0,,,,,,,
265,2020/10/23,26.0,20.2,9.4,99 ,93 ,76 ,0.0,,,,,,,
266,2020/10/24,31.4,24.2,9.4,99 ,86 ,60 ,0.0,,,,,,,
267,2020/10/28,9.4,9.4,9.4,82 ,82 ,82 ,10.21,,,,,,,
268,2020/10/29,18.9,14.2,9.4,82 ,47 ,28 ,0.0,,,,,,,
269,2020/10/30,27.6,16.0,9.4,82 ,57 ,25 ,0.0,,,,,,,
270,2020/10/31,30.1,18.9,9.4,83 ,49 ,18 ,0.0,,,,,,,
271,2020/11/01,30.4,18.8,9.4,82 ,51 ,22 ,0.0,,,,,,,
272,2020/11/02,9.4,9.4,9.4,82 ,82 ,82 ,0.0,,,,,,,
273,2020/11/04,23.8,20.8,9.4,82 ,46 ,38 ,0.0,,,,,,,
274,2020/11/05,31.3,23.0,9.4,82 ,43 ,23 ,0.0,,,,,,,
275,2020/11/08,22.2,21.6,9.4,91 ,79 ,32 ,1.3,,,,,,,
276,2020/11/09,31.3,25.3,9.4,90 ,56 ,37 ,1.19,,,,,,,
277,2020/11/10,28.8,21.1,9.4,87 ,72 ,48 ,0.3,,,,,,,
278,2020/11/11,35.0,24.2,9.4,91 ,61 ,31 ,0.0,,,,,,,
279,2020/11/12,32.5,24.2,9.4,82 ,51 ,26 ,0.0,,,,,,,
280,2020/11/13,35.3,26.4,9.4,82 ,42 ,23 ,0.0,,,,,,,
281,2020/11/14,25.3,20.1,9.4,99 ,74 ,38 ,21.84,,,,,,,
282,2020/11/15,21.6,20.3,9.4,85 ,79 ,57 ,21.79,,,,,,,
283,2020/11/16,24.7,21.9,9.4,82 ,49 ,41 ,0.0,,,,,,,
284,2020/11/21,9.4,9.4,9.4,82 ,48 ,33 ,0.0,,,,,,,
285,2020/11/22,9.4,9.4,9.4,82 ,48 ,26 ,0.0,,,,,,,
286,2020/11/23,38.1,33.5,9.4,82 ,30 ,21 ,0.0,,,,,,,
287,2020/11/24,41.2,30.0,9.4,82 ,42 ,23 ,0.0,,,,,,,
288,2020/11/25,27.0,22.7,9.4,85 ,76 ,59 ,0.0,,,,,,,
289,2020/11/26,28.6,22.7,9.4,88 ,56 ,28 ,0.0,,,,,,,
290,2020/11/27,35.2,26.4,9.4,82 ,50 ,30 ,0.0,,,,,,,
291,2020/11/28,36.4,26.7,9.4,89 ,68 ,41 ,0.0,,,,,,,
292,2020/11/29,34.6,22.2,9.4,99 ,86 ,44 ,14.0,,,,,,,
293,2020/11/30,30.1,22.3,9.4,90 ,59 ,32 ,0.0,,,,,,,
294,2020/12/01,34.9,25.9,9.4,82 ,50 ,33 ,0.0,,,,,,,
295,2020/12/02,28.4,22.0,9.4,99 ,81 ,54 ,35.31,,,,,,,
296,2020/12/03,34.6,24.2,9.4,99 ,63 ,20 ,0.51,,,,,,,
297,2020/12/04,21.1,16.1,9.4,88 ,74 ,38 ,5.11,,,,,,,
298,2020/12/05,30.2,19.9,9.4,83 ,50 ,23 ,0.0,,,,,,,
299,2020/12/06,32.3,22.1,9.4,82 ,49 ,26 ,0.0,,,,,,,
300,2020/12/07,32.1,23.9,9.4,82 ,47 ,30 ,0.0,,,,,,,
301,2020/12/08,35.4,26.0,9.4,85 ,53 ,29 ,0.0,,,,,,,
302,2020/12/09,36.8,27.9,9.4,87 ,53 ,29 ,0.0,,,,,,,
303,2020/12/10,29.0,23.0,9.4,93 ,71 ,52 ,0.0,,,,,,,
304,2020/12/11,31.0,26.3,9.4,82 ,26 ,17 ,2.29,,,,,,,
305,2020/12/12,33.3,23.8,9.4,82 ,56 ,34 ,1.02,,,,,,,
